OG_Work_Links,QID,Linked_OG_titles,publication date,OG_Country,OG_place of publication,OG_Authors,OG_Work_Titles,OG_Lang,Translated_Work_Links,QID...,Translate_Titles_Links,place of publication,printed by,publisher,distribution format,Trans_Pub_Date,Translated_Pub_Country,Translator,Translated_Work_Titles,Translated_Langs
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594724,Q114594724,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 8),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 8),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594772,Q114594772,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 9),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 9),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594832,Q114594832,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 10),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 10),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114594918,Q114594918,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 11),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 11),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114595040,Q114595040,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 12),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 12),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114595096,Q114595096,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 13),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 13),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114595139,Q114595139,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 14),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 14),English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q114595169,Q114595169,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 15),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 15),English
http://www.wikidata.org/entity/Q6366417,Q6366417,Kapalkundala,###############################################################################################################################################################################################################################################################,N/A,N/A,Bankim Chandra Chatterjee,Kapalkundala,Bangla,http://www.wikidata.org/entity/Q51535139,Q51535139,Kopal-Kundala,London,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,Henry Arthur Deuteros Phillips,Kopal-Kundala,English
http://www.wikidata.org/entity/Q51711,Q51711,Quora,N/A,N/A,N/A,N/A,Quora,Hindi,http://www.wikidata.org/entity/Q106828596,Q106828596,Quora in French,n/a,n/a,n/a,n/a,N/A,N/A,N/A,Quora in French,French
http://www.wikidata.org/entity/Q17461261,Q17461261,Bishbriksha,N/A,N/A,N/A,Bankim Chandra Chatterjee,Bishbriksha,Bangla,http://www.wikidata.org/entity/Q598888,Q598888,Q598888,n/a,n/a,n/a,n/a,N/A,N/A,N/A,The Poison,English
http://www.wikidata.org/entity/Q7771450,Q7771450,The Unfinished Memoirs,N/A,N/A,N/A,Sheikh Mujibur Rahman,The Unfinished Memoirs,Bangla,http://www.wikidata.org/entity/Q131858364,Q131858364,The Unfinished Memoirs,n/a,n/a,n/a,hardcover,2012-06-04,N/A,N/A,The Unfinished Memoirs,English
http://www.wikidata.org/entity/Q7285564,Q7285564,Raja Yoga,###############################################################################################################################################################################################################################################################,N/A,N/A,Swami Vivekananda,Raja Yoga,Bangla,http://www.wikidata.org/entity/Q26691331,Q26691331,Râja-yoga,n/a,n/a,n/a,n/a,N/A,N/A,N/A,Râja-yoga,French
http://www.wikidata.org/entity/Q3124055,Q3124055,Anandamath,###############################################################################################################################################################################################################################################################,British Raj,N/A,Bankim Chandra Chatterjee,Anandamath,Bangla,http://www.wikidata.org/entity/Q19795166,Q19795166,Abbey of Bliss,Kolkata,n/a,Padmini Mohan Neogi,n/a,1906-01-01,India,Naresh Chandra Sengupta,Abbey of Bliss,English
http://www.wikidata.org/entity/Q3124055,Q3124055,Anandamath,###############################################################################################################################################################################################################################################################,British Raj,N/A,Bankim Chandra Chatterjee,Anandamath,Bangla,http://www.wikidata.org/entity/Q19795188,Q19795188,Dawn over India,New York City,n/a,Devin-Adair Publishing Company,n/a,1941-01-01,N/A,Basanta Koomar Roy,Dawn over India,English
http://www.wikidata.org/entity/Q123994468,Q123994468,মণিমালা,N/A,N/A,N/A,Sourindro Mohun Tagore,Manimala,Hindi,http://www.wikidata.org/entity/Q111659345,Q111659345,A Treatise on Gems,Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,A Treatise on Gems,English
http://www.wikidata.org/entity/Q123994468,Q123994468,মণিমালা,N/A,N/A,N/A,Sourindro Mohun Tagore,Manimala,Hindi,http://www.wikidata.org/entity/Q111659356,Q111659356,A Treatise on Gems (Part 2),Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,A Treatise on Gems (Part 2),English
http://www.wikidata.org/entity/Q7125551,Q7125551,Pakistan Chronicle,2010-01-01,Pakistan,N/A,Aqeel Abbas Jafri,Pakistan Chronicle,Urdu,http://www.wikidata.org/entity/Q133056572,Q133056572,Pakistan Chronicle,n/a,n/a,n/a,hardcover,N/A,N/A,N/A,Pakistan Chronicle,English
,,,2011-01-01,,,,,,,,,n/a,n/a,n/a,n/a,N/A,,,,
,,,2018-01-01,,,,,,,,,n/a,n/a,n/a,n/a,N/A,,,,
http://www.wikidata.org/entity/Q123993344,Q123993344,সিক্ষ্যা গুরূ,N/A,N/A,N/A,John Miller,Education Guru,Bangla,http://www.wikidata.org/entity/Q111820917,Q111820917,Sikshya Guru,Serampore,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,Sikshya Guru,English
http://www.wikidata.org/entity/Q7036779,Q7036779,Nil-Darpan Natok,N/A,N/A,N/A,Dinabandhu Mitra,Nil-Darpan Natok,Bangla,http://www.wikidata.org/entity/Q42303674,Q42303674,Nil Durpan,n/a,n/a,n/a,n/a,N/A,N/A,Michael Madhusudan Dutt,Nil Durpan,English
http://www.wikidata.org/entity/Q123992771,Q123992771,কথোপকথন,N/A,N/A,N/A,William Carey,Conversation,Bangla,http://www.wikidata.org/entity/Q25858561,Q25858561,"Dialogues, Intended to Facilitate the Acquiring of the Bengali Language",Serampore,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,"Dialogues, Intended to Facilitate the Acquiring of the Bengali Language",English
http://www.wikidata.org/entity/Q96872670,Q96872670,Mukher Dike Dekhi,2006-02-01,N/A,N/A,Shahidul Zahir,Mukher Dike Dekhi,Bangla,http://www.wikidata.org/entity/Q116995160,Q116995160,I See The Face,n/a,n/a,HarperCollins Publishers India,paperback,2023-03-24,N/A,V. Ramaswamy,I See The Face,English
http://www.wikidata.org/entity/Q129168894,Q129168894,বাক্যাবলী,N/A,N/A,N/A,John Dorkling Pearson,Phrases,Bangla,http://www.wikidata.org/entity/Q129168870,Q129168870,Bakyabolee,Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,Bakyabolee,English
http://www.wikidata.org/entity/Q129168894,Q129168894,বাক্যাবলী,N/A,N/A,N/A,John Dorkling Pearson,Phrases,Bangla,http://www.wikidata.org/entity/Q129168889,Q129168889,Bakyabali,Kolkata,Baptist Mission Press,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,Bakyabali,English
http://www.wikidata.org/entity/Q116771772,Q116771772,"Khazina-e muhawarat; or, Urdu idioms",N/A,N/A,N/A,Douglas Craven Phillott,"Khazina-e muhawarat; or, Urdu idioms",Urdu,http://www.wikidata.org/entity/Q116771776,Q116771776,"Khazina-e muhawarat; or, Urdu idioms",n/a,n/a,n/a,n/a,1912-01-01,N/A,N/A,"Khazina-e muhawarat; or, Urdu idioms",English
http://www.wikidata.org/entity/Q14956322,Q14956322,Raag Darbari,1968-01-01,India,N/A,Shrilal Shukla,Raag Darbari,Hindi,http://www.wikidata.org/entity/Q132496544,Q132496544,Raag Darbari,n/a,n/a,n/a,paperback,N/A,N/A,N/A,Raag Darbari,English
http://www.wikidata.org/entity/Q123993786,Q123993786,দর্পচূর্ণ,N/A,N/A,N/A,Sarat Chandra Chattopadhyay,Amber powder,Bangla,http://www.wikidata.org/entity/Q110221129,Q110221129,Darpachurna,Kolkata,n/a,Kamini Prakashalay,n/a,1965-01-01,N/A,N/A,Darpachurna,English
http://www.wikidata.org/entity/Q47153,Q47153,2 States: The Story of My Marriage,2009-10-08,India,N/A,Chetan Bhagat,2 States: The Story of My Marriage,Hindi,http://www.wikidata.org/entity/Q124624742,Q124624742,2 States: The Story of My Marriage,India,n/a,Rupa Publications,n/a,2009-01-01,N/A,N/A,2 States: The Story of My Marriage,English
http://www.wikidata.org/entity/Q199739,Q199739,Amar Sonar Bangla,N/A,British Raj,N/A,N/A,Amar Sonar Bangla,Bangla,http://www.wikidata.org/entity/Q109320413,Q109320413,Amar Shonar Bangla,n/a,n/a,n/a,n/a,N/A,N/A,N/A,Q109320413,French
http://www.wikidata.org/entity/Q17461261,Q17461261,Bishbriksha,N/A,N/A,N/A,Bankim Chandra Chatterjee,Bishbriksha,Bangla,http://www.wikidata.org/entity/Q19795175,Q19795175,The Poison Tree,London,n/a,T. Fisher Unwin,n/a,###############################################################################################################################################################################################################################################################,N/A,Miriam Knight,The Poison Tree,English
http://www.wikidata.org/entity/Q6488199,Q6488199,The Immortals of Meluha,2010-02-01,India,N/A,Amish Tripathi,The Immortals of Meluha,Hindi,http://www.wikidata.org/entity/Q131965923,Q131965923,The Immortals of Meluha,n/a,n/a,n/a,paperback,2011-01-01,N/A,N/A,The Immortals of Meluha,English
http://www.wikidata.org/entity/Q123993163,Q123993163,পুরাবৃত্তের সংক্ষেপ বিবরণ,N/A,N/A,N/A,John Clark Marshman,A brief overview of ancient history,Bangla,http://www.wikidata.org/entity/Q107185289,Q107185289,Brief Survey of History,Serampore,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,Brief Survey of History,English
http://www.wikidata.org/entity/Q51711,Q51711,Quora,N/A,N/A,N/A,N/A,Quora,Bangla,http://www.wikidata.org/entity/Q106828596,Q106828596,Quora in French,n/a,n/a,n/a,n/a,N/A,N/A,N/A,Quora in French,French
http://www.wikidata.org/entity/Q7197549,Q7197549,Pir-e-Kamil,2004-01-01,Pakistan,N/A,Umera Ahmad,Pir-e-Kamil,Urdu,http://www.wikidata.org/entity/Q126725196,Q126725196,Pir-e-Kamil,n/a,n/a,n/a,paperback,2014-01-01,N/A,N/A,Pir-e-Kamil,English
http://www.wikidata.org/entity/Q123994770,Q123994770,বাঙ্গালা ও ইংরাজী অভিধান,N/A,N/A,N/A,Gopi Krishna Mitra,Bengali and English Dictionary,Bangla,http://www.wikidata.org/entity/Q117750164,Q117750164,Bengali and English Dictionary,Kolkata,Baptist Mission Press,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,Bengali and English Dictionary,English
http://www.wikidata.org/entity/Q5316435,Q5316435,Durgeshnandini,###############################################################################################################################################################################################################################################################,N/A,N/A,Bankim Chandra Chatterjee,Durgeshnandini,Bangla,http://www.wikidata.org/entity/Q51452423,Q51452423,Durgesa Nandini,Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,British Raj,N/A,Durgesa Nandini,English
http://www.wikidata.org/entity/Q116996112,Q116996112,Dictionary of Hindi Verbs,N/A,N/A,N/A,Helmut Nespital,Dictionary of Hindi Verbs,Hindi,http://www.wikidata.org/entity/Q116477566,Q116477566,Dictionary of Hindi Verbs,Prayagraj,n/a,Rajkamal Prakashan,n/a,2008-01-01,N/A,N/A,Dictionary of Hindi Verbs,English
http://www.wikidata.org/entity/Q7757862,Q7757862,Dak Ghar,1912-01-01,British Raj,N/A,Rabindranath Tagore,Dak Ghar,Bangla,http://www.wikidata.org/entity/Q61646093,Q61646093,The Post Office,n/a,n/a,n/a,n/a,1914-01-01,N/A,Debabrata Mukhopadhyay,The Post Office,English
http://www.wikidata.org/entity/Q123994468,Q123994468,মণিমালা,N/A,N/A,N/A,Sourindro Mohun Tagore,Manimala,Bangla,http://www.wikidata.org/entity/Q111659345,Q111659345,A Treatise on Gems,Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,A Treatise on Gems,English
http://www.wikidata.org/entity/Q123994468,Q123994468,মণিমালা,N/A,N/A,N/A,Sourindro Mohun Tagore,Manimala,Bangla,http://www.wikidata.org/entity/Q111659356,Q111659356,A Treatise on Gems (Part 2),Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,A Treatise on Gems (Part 2),English
http://www.wikidata.org/entity/Q116878357,Q116878357,ISL Dictionary,N/A,N/A,N/A,N/A,ISL Dictionary,Hindi,http://www.wikidata.org/entity/Q116879057,Q116879057,Sign Learn,n/a,n/a,Indian Sign Language Research and Training Center,digital download,N/A,N/A,N/A,Sign Learn,English
http://www.wikidata.org/entity/Q123992700,Q123992700,"Companion to Johnson's Dictionary, Bengali and English",N/A,N/A,N/A,John Mendies,"Companion to Johnson's Dictionary, Bengali and English (Third Edition)",Bangla,http://www.wikidata.org/entity/Q97129312,Q97129312,"Companion to Johnson's Dictionary, Bengali and English (Third Edition)",Kolkata,n/a,n/a,n/a,###############################################################################################################################################################################################################################################################,N/A,N/A,"Companion to Johnson's Dictionary, Bengali and English (Third Edition)",English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q110643960,Q110643960,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 1),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 1),English
http://www.wikidata.org/entity/Q113680785,Q113680785,Mother Goose Goes to India,N/A,N/A,N/A,Kabir Sehgal,Mother Goose Goes to India,Hindi,http://www.wikidata.org/entity/Q113680808,Q113680808,Mother Goose Goes to India,n/a,n/a,Beach Lane Books,n/a,2022-01-01,N/A,N/A,Mother Goose Goes to India,English
,,,N/A,N/A,N/A,Surishtha Sehgal,,,,,,n/a,n/a,n/a,n/a,N/A,N/A,N/A,,
http://www.wikidata.org/entity/Q123993671,Q123993671,স্বরলিপি,N/A,N/A,N/A,Indira Devi Chaudhurani,Musical notation,Bangla,http://www.wikidata.org/entity/Q112870279,Q112870279,Anthology of One Hundred Songs of Rabindranath Tagore in Staff Notation,New Delhi,n/a,Sangeet Natak Akademi,n/a,1961-11-01,N/A,N/A,Anthology of One Hundred Songs of Rabindranath Tagore in Staff Notation,English
http://www.wikidata.org/entity/Q2642057,Q2642057,Banglapedia,2003-01-01,Bangladesh,N/A,N/A,Banglapedia,Bangla,http://www.wikidata.org/entity/Q107718654,Q107718654,Banglapedia: National Encyclopedia of Bangladesh,Dhaka,n/a,Asiatic Society of Bangladesh,n/a,2003-01-01,N/A,N/A,Banglapedia: National Encyclopedia of Bangladesh,English
,,,2003-01-01,,,,,,,,,n/a,n/a,n/a,n/a,N/A,,,,
http://www.wikidata.org/entity/Q104621217,Q104621217,Jibon O Rajnaitik Bastobota,1988-02-01,Bangladesh,N/A,Shahidul Zahir,Jibon O Rajnaitik Bastobota,Bangla,http://www.wikidata.org/entity/Q116991409,Q116991409,Life and Political Reality : Two Novellas,n/a,n/a,HarperCollins Publishers India,paperback,2022-01-21,N/A,V. Ramaswamy,Life and Political Reality : Two Novellas,English
,,,N/A,N/A,N/A,N/A,,,,,,n/a,n/a,n/a,n/a,N/A,N/A,Shahroza Nahrin,,
http://www.wikidata.org/entity/Q6366417,Q6366417,Kapalkundala,###############################################################################################################################################################################################################################################################,N/A,N/A,Bankim Chandra Chatterjee,Kapalkundala,Bangla,http://www.wikidata.org/entity/Q19082444,Q19082444,Kapalkundala,n/a,n/a,n/a,n/a,1919-01-01,N/A,N/A,Kapalkundala,English
http://www.wikidata.org/entity/Q61359336,Q61359336,Bangladesher Swadhinata Juddha: Dalilpatra,N/A,N/A,N/A,N/A,Bangladesher Swadhinata Juddha: Dalilpatra,Bangla,http://www.wikidata.org/entity/Q110852450,Q110852450,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 2),Dhaka,n/a,Hakkani Publishers,n/a,2009-06-01,N/A,N/A,Bangladesher Swadhinata Yuddha Dalilpatra (Volume 2),English
