OGWork_Links,OGWork_Titles_eng,OG_Form_of_Literature,OGWork_Country of Origin,OGWork_Publisher,author_links,Author_QIDs,OGWork_Authors,country of citizenship,OG_Languages_Links,OGLang,translatedWork,TranslatedWork_Titles,publisher,country,coordinate location_Country,Longitude,Latitude,HQ Location,coordinate location for HQ,Longitude_2,Latitude_2,Translators,Translated into,transLang
http://www.wikidata.org/entity/Q105576283,Mercury Under My Tongue,novel,Canada,n/a,http://www.wikidata.org/entity/Q3507133,Q3507133,Sylvain Trudel,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q105726608,Mercury Under My Tongue,Soft Skull Press,United States,"39.828175,-98.5795",-98.5795,39.828175,New York City,"40.71277777777778,-74.00611111111111",-74.00611111111111,40.71277777777778,Sheila Fischman,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7241069,Preserver,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824963,Die Bewahrer,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7241069,Preserver,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824961,Die Bewahrer,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036486,Captain's Blood,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825958,Sternennacht,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036486,Captain's Blood,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825957,Sternennacht,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q52399365,"Jeanne, fille du Roy",novel,Canada,Éditions Fides,http://www.wikidata.org/entity/Q3106522,Q3106522,Gilles Tibo,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q7744440,The King's Daughter,Douglas & McIntyre,Canada,"56,-109",-109,56,Vancouver,"49.26083333333333,-123.1138888888889",-123.1138888888889,49.26083333333333,,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q64863366,Pleurer pour rire,play,Canada,n/a,http://www.wikidata.org/entity/Q3289374,Q3289374,Marcel Sabourin,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q64863371,Llorar para reír,,Spain,"40.2,-3.5",-3.5,40.2,Alicante,"38.345277777778,-0.48305555555556",-0.48305555555556,38.345277777778,,Spanish,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173104,Station Eleven,Éditions Alto,Canada,"56,-109",-109,56,Quebec City,"46.816111,-71.224167",-71.224167,46.816111,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173108,Station Eleven,Payot & Rivages,France,"47,2",2,47,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,48.85666666666667,Gérard de Chergé,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173118,Station Eleven,Payot & Rivages,France,"47,2",2,47,Paris,"48.85666666666667,2.352222222222222",2.352222222222222,48.85666666666667,Gérard de Chergé,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q565911,Anne of Green Gables,,Canada,L. C. Page & Company,http://www.wikidata.org/entity/Q273034,Q273034,Lucy Maud Montgomery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q83456853,Anne of Green Gables,Sigong Junior,South Korea,"36,128",128,36,Paju,"37.832777777778,126.81694444444",126.81694444444,37.832777777778,Kyong-mi Kim,Korean,http://www.wikidata.org/entity/Q9176
http://www.wikidata.org/entity/Q62703767,21 Cardinals,novel,Canada,n/a,http://www.wikidata.org/entity/Q3179881,Q3179881,Jocelyne Saucier,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q115267089,Niemals ohne sie,Insel Verlag,Germany,"51,10",10,51,Berlin,"52.516666666667,13.383333333333",13.383333333333,52.516666666667,Sonja Finck,German,http://www.wikidata.org/entity/Q188
,,,,,,,,,,,,,,Germany,"51,10",10,51,Berlin,"52.516666666667,13.383333333333",13.383333333333,52.516666666667,,,
http://www.wikidata.org/entity/Q30727660,La Femme qui fuit,novel,Canada,n/a,http://www.wikidata.org/entity/Q2845696,Q2845696,Anaïs Barbeau-Lavalette,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q104716498,Suzanne,Coach House Books,Canada,"56,-109",-109,56,Toronto,"43.670277777778,-79.386666666667",-79.386666666667,43.670277777778,Rhonda Mullins,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173088,Station Elf,Atlas Contact,Netherlands,"52.316666666667,5.55",5.55,52.316666666667,Amsterdam,"52.36666666666667,4.883333333333333",4.883333333333333,52.36666666666667,,Dutch,http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173083,Estação Onze,,Portugal,"38.7,-9.183333333333334",-9.183333333333334,38.7,Lisbon,"38.708042,-9.139016",-9.139016,38.708042,,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173092,Estação Onze,Editorial Presença,Portugal,"38.7,-9.183333333333334",-9.183333333333334,38.7,Barcarena,"-1.5058333333333,-48.625833333333",-48.625833333333,-1.5058333333333,,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173131,Estação Onze,,Portugal,"38.7,-9.183333333333334",-9.183333333333334,38.7,Barcarena,"-1.5058333333333,-48.625833333333",-48.625833333333,-1.5058333333333,,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173087,Σταθμός Έντεκα,Patakis Editions,Greece,"38.5,23",23,38.5,Athens,"37.98416666666667,23.728055555555557",23.728055555555557,37.98416666666667,Βασιλική Νίκα,Greek,http://www.wikidata.org/entity/Q9129
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173112,Station Elva,Trut Publishing,Sweden,"61,15",15,61,Uppsala,"59.849760548324,17.638946597524",17.638946597524,59.849760548324,,Swedish,http://www.wikidata.org/entity/Q9027
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173081,Das Licht der letzten Tage,Piper Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173080,Estación once,"Kailas Editorial, S.L.",Spain,"40.2,-3.5",-3.5,40.2,Madrid,"40.41694444444445,-3.703333333333333",-3.703333333333333,40.41694444444445,,Spanish,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173113,Das Licht der letzten Tage,Piper Verlag GmbH,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173101,Estación once,"Kailas Editorial, S.L",Spain,"40.2,-3.5",-3.5,40.2,Madrid,"40.41694444444445,-3.703333333333333",-3.703333333333333,40.41694444444445,,Spanish,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173130,Tizenegyes állomás,GABO SFF,Hungary,"47,19",19,47,Budapest,"47.498333333333,19.040833333333",19.040833333333,47.498333333333,,Hungarian,http://www.wikidata.org/entity/Q9067
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173098,Станция Одиннадцать,Eksmo,Russia,"66.41666666666667,94.25",94.25,66.41666666666667,Moscow,"55.75055555555556,37.6175",37.6175,55.75055555555556,,Russian,http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173096,İstasyon On Bir,Pegasus Publishing,Turkey,"39,36",36,39,Istanbul,"41.01,28.960277777778",28.960277777778,41.01,,Turkish,http://www.wikidata.org/entity/Q256
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173086,Stazione undici,Bompiani,Italy,"42.5,12.5",12.5,42.5,province of Milan,"45.464161111111,9.1903361111111",9.1903361111111,45.464161111111,,Italian,http://www.wikidata.org/entity/Q652
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173091,Станция Единайсет,Exlibris,Bulgaria,"42.75,25.5",25.5,42.75,Sofia,"42.697886,23.321726",23.321726,42.697886,Ayşegül Çelik,Bulgarian,http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173122,Simfonia itinerantă,RAO,Romania,"46,25",25,46,Bucharest,"44.41336111111111,26.09777777777778",26.09777777777778,44.41336111111111,,Romanian,http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173120,Stanica Jedanaest,Vulkan,Serbia,"43.95,20.933333333333",20.933333333333,43.95,Belgrade,"44.81777777777778,20.456944444444446",20.456944444444446,44.81777777777778,,Serbian,http://www.wikidata.org/entity/Q9299
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173125,Postaja jedanaest,Znanje,Croatia,"45.25,15.466667",15.466667,45.25,Zagreb,"45.81305555555556,15.977222222222222",15.977222222222222,45.81305555555556,,Croatian,http://www.wikidata.org/entity/Q6654
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173093,Vienuolikta stotis,Tyto alba,Lithuania,"55.2,24",24,55.2,Vilnius,"54.687222222222225,25.28",25.28,54.687222222222225,,Lithuanian,http://www.wikidata.org/entity/Q9083
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173109,Jaam üksteist,AS Varrak,Estonia,"59,26",26,59,Tallinn,"59.437222222222,24.745",24.745,59.437222222222,Allan Eichenbaum,Estonian,http://www.wikidata.org/entity/Q9072
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173090,Asema 11,Tammi,Finland,"65,27",27,65,Kamppi,"60.1660870189,24.9311082753",24.9311082753,60.1660870189,,Finnish,http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173123,Fordi overlevelse ikke er nok,Font Publishing House,Norway,"65,11",11,65,Oslo,"59.913333333333334,10.738888888888889",10.738888888888889,59.913333333333334,,Norwegian,http://www.wikidata.org/entity/Q9043
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173085,Stacja Jedenaście,n.a,Poland,"52,19",19,52,Słupsk,"54.466666666667,17.033333333333",17.033333333333,54.466666666667,,Polish,http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173129,Stacja Jedenasta,Poradnia K,Poland,"52,19",19,52,Warsaw,"52.23,21.011111111111113",21.011111111111113,52.23,,Polish,http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q5036490,Captain's Glory,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825954,Sternenfluchten,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036490,Captain's Glory,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825955,Sternenfluchten,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036494,Captain's Peril,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825950,Sternen­dämmerung,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036494,Captain's Peril,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825952,Sternen­dämmerung,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173117,Vienpadsmitā stacija,Wydawnictwo Papierowy Księżyc,Latvia,"57,25",25,57,Słupsk,"54.466666666667,17.033333333333",17.033333333333,54.466666666667,,Latvian,http://www.wikidata.org/entity/Q9078
http://www.wikidata.org/entity/Q52399365,"Jeanne, fille du Roy",novel,Canada,Éditions Fides,http://www.wikidata.org/entity/Q3506003,Q3506003,Suzanne Martel,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q7744440,The King's Daughter,Douglas & McIntyre,Canada,"56,-109",-109,56,Vancouver,"49.26083333333333,-123.1138888888889",-123.1138888888889,49.26083333333333,,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7241069,Preserver,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824963,Die Bewahrer,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7241069,Preserver,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824961,Die Bewahrer,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036490,Captain's Glory,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825954,Sternenfluchten,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036490,Captain's Glory,novel,Canada,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825955,Sternenfluchten,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7575227,Spectre,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54821047,Das Gespenst,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7575227,Spectre,novel,Canada,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54821049,Das Gespenst,Heyne Verlag,Germany,"51,10",10,51,Munich,"48.1375,11.575",11.575,48.1375,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5195296,Curse of the Viking Grave,novel,Canada,"Little, Brown and Company",http://www.wikidata.org/entity/Q966679,Q966679,Farley Mowat,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q15442747,Stopy ve sněhu; Kletba vikingova hrobu,"Albatros, nakladatelství pro děti a mládež",Czechoslovakia,"50.083333333333,14.416666666667",14.416666666667,50.083333333333,Prague,"50.0875,14.421388888888888",14.421388888888888,50.0875,,Czech,http://www.wikidata.org/entity/Q9056
,,,,,,,,,,,,,,Czech Republic,"50,15",15,50,,,,,,,
http://www.wikidata.org/entity/Q1352419,Anne of the Island,,Canada,L. C. Page & Co.,http://www.wikidata.org/entity/Q273034,Q273034,Lucy Maud Montgomery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q58368041,Anne of the Island,,Poland,"52,19",19,52,Łódź,"51.75,19.466666666667",19.466666666667,51.75,Marceli Tarnowski,Polish,http://www.wikidata.org/entity/Q809
http://www.wikidata.org/entity/Q1331757,Anne of Avonlea,novel,Canada,Louis Coues Page,http://www.wikidata.org/entity/Q273034,Q273034,Lucy Maud Montgomery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q65524113,Vår vän Anne,Gleerups förlag,Sweden,"61,15",15,61,Lund,"55.708313018551,13.199164196669",13.199164196669,55.708313018551,Karin Jensen,Swedish,http://www.wikidata.org/entity/Q9027
