OGWork_Links,OGWork_Titles_eng,OG_Form_of_Literature,OGWork_Country of Origin,OGWork_Cordinates,Mappable,OG_Latitude,OG_Longitude,OGWork_Publisher,author_links,Author_QIDs,OGWork_Authors,country of citizenship,OG_Languages_Links,OGLang,translatedWork,TranslatedWork_Titles,Trans_Form of Creative work,pubPlace,Trans_Place of Publication,Trans_Publication_coordinates,TransWork_Lat,Mappable_2,TransWork_Long,Translators,Translated into,transLang
http://www.wikidata.org/entity/Q1323801,Deadhouse Gates,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122140668,Dům mrtvých: druhý příběh z Malazské knihy padlých,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,Dana Krejčová,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q3521955,The Mystery Method: How to Get Beautiful Women into Bed,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q932484,Q932484,Mystery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q123523639,El secreto,,http://www.wikidata.org/entity/Q29,Spain,"40.2,-3.5",-3.5,Yes,40.2,,Spanish,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q109861103,Rabbits,novel,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q109861010,Q109861010,Terry Miles,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122133586,Rabbits,,http://www.wikidata.org/entity/Q14960,Brno,"49.195277777778,16.608333333333",16.608333333333,Yes,49.195277777778,Radka Knotková,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q121620694,Les Jardins de la Lune,,http://www.wikidata.org/entity/Q142,France,"47,2",2,Yes,47,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3222227,Strong Medicine,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Dell Publishing,http://www.wikidata.org/entity/Q249544,Q249544,Arthur Hailey,United Kingdom,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q123220329,Le Destin d'une femme,,http://www.wikidata.org/entity/Q142,France,"47,2",2,Yes,47,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q67104702,Rejoice,novel,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122075640,Radujme se: nůž do srdce: román o prvním kontaktu,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,Zdeněk Hofmann,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q441055,Gardens of the Moon,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122124725,Měsíční zahrady: první příběh z Malazské knihy padlých,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,Dana Krejčová,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q1750300,Dracula the Un-dead,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,HarperCollins,http://www.wikidata.org/entity/Q3700744,Q3700744,Dacre Stoker,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q117350114,"Drácula, el no muerto",,http://www.wikidata.org/entity/Q29,Spain,"40.2,-3.5",-3.5,Yes,40.2,,Spanish,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q30668126,Still Life,novel,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q460414,Q460414,Louise Penny,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122018692,Still Life,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,Lenka Uhlířová,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q130371870,Initiation,novel,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q28806119,Q28806119,Mac Walters,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122078628,Mass Effect: Andromeda.,,http://www.wikidata.org/entity/Q8385,Ostrava,"49.835555555556,18.2925",18.2925,Yes,49.835555555556,,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q4750096,An Introduction to Old Norse,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q81877,Q81877,E. V. Gordon,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q118252102,An Introduction to Old Norse,,http://www.wikidata.org/entity/Q34217,Oxford,"51.751944444444,-1.2577777777778",-1.2577777777778,Yes,51.751944444444,,English,http://www.wikidata.org/entity/Q35505
http://www.wikidata.org/entity/Q115686296,Dracul,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q3700744,Q3700744,Dacre Stoker,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q122036777,Dracul,,http://www.wikidata.org/entity/Q1085,Prague,"50.0875,14.421388888888888",14.421388888888888,Yes,50.0875,Ladislav Šenkyřík,Czech,http://www.wikidata.org/entity/Q9056
http://www.wikidata.org/entity/Q3747905,For the Win,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q110436,Q110436,Cory Doctorow,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q61830010,For the Win,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q4828056,Avenger,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824592,Der Rächer,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q4828056,Avenger,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824593,Der Rächer,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036494,Captain's Peril,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825950,Sternen­dämmerung,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036494,Captain's Peril,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825952,Sternen­dämmerung,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q825718,Wikinomics,essay,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q984369,Q984369,Don Tapscott,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q115172918,Wikinomics,,,,,,No,,,Dutch,http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q32979644,The Pacing Mustang: Stories About Animals,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q505017,Q505017,Ernest Thompson Seton,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q25529453,The Pacing Mustang: Stories About Animals,short story,,,,,No,,,Uzbek,http://www.wikidata.org/entity/Q9264
http://www.wikidata.org/entity/Q108617357,Toki Pona Dictionary,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q12854,Q12854,Sonja Lang,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q108617358,Toki Pona Dictionary,,,,,,No,,,English,http://www.wikidata.org/entity/Q36846
http://www.wikidata.org/entity/Q5440721,Federation,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824994,Die Föderation,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5440721,Federation,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824996,Die Föderation,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q757293,Fishes of the World,,n/a,,No,,,Wiley,http://www.wikidata.org/entity/Q1707943,Q1707943,Joseph S. Nelson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q111134358,Fishes of the World (Chinese edition),,,,,,No,,Li Sizhong,Traditional Chinese,http://www.wikidata.org/entity/Q18130932
http://www.wikidata.org/entity/Q105576283,Mercury Under My Tongue,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3507133,Q3507133,Sylvain Trudel,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q105726608,Mercury Under My Tongue,,,,,,No,,Sheila Fischman,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q108617400,Toki Pona: The Language of Good,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q12854,Q12854,Sonja Lang,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q114601761,Tokipono: La lingvo de bono,,,,,,No,,jan Pensa,Esperanto,http://www.wikidata.org/entity/Q143
http://www.wikidata.org/entity/Q108617400,Toki Pona: The Language of Good,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q12854,Q12854,Sonja Lang,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q114602276,Tokipono: La lingvo de bono (UK 2022 edition),,,,,,No,,jan Pensa,Esperanto,http://www.wikidata.org/entity/Q143
http://www.wikidata.org/entity/Q4571957,The Pig and the Box,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q24699648,Q24699648,Michael Milligan,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q24331601,O Porco e a Caixa,,,,,,No,,Alexandre Oliva,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q7301415,Reaper's Gale,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Bantam Books,http://www.wikidata.org/entity/Q428755,Q428755,Steven Erikson,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q112974636,Le Souffle du Moissonneur,,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q108617400,Toki Pona: The Language of Good,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q12854,Q12854,Sonja Lang,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q109879107,Toki Pona: Die Sprache des Guten,,,,,,No,,jan Juli,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7241069,Preserver,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824963,Die Bewahrer,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7241069,Preserver,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q20871976,Q20871976,Garfield Reeves-Stevens,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824961,Die Bewahrer,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q116055044,A History of the Baltic States,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q503272,Q503272,Andres Kasekamp,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116055050,Baltian historia 3. painos,,,,,,No,,,Finnish,http://www.wikidata.org/entity/Q1412
http://www.wikidata.org/entity/Q5223470,Dark Victory,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825198,Dunkler Sieg,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5223470,Dark Victory,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825197,Dunkler Sieg,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q115758753,Flames across the Border,,n/a,,No,,,McClelland & Stewart,http://www.wikidata.org/entity/Q606553,Q606553,Pierre Berton,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q115462734,Q115462734,,,,,,No,,,,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q104176785,Q104176785,,n/a,,No,,,Éditions du Boréal,http://www.wikidata.org/entity/Q27680102,Q27680102,Renée Dupuis,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q104176942,Justice for Canada's Aboriginal Peoples,,,,,,No,,Robert Chodos,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q5036486,Captain's Blood,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825958,Sternennacht,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q5036486,Captain's Blood,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825957,Sternennacht,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7714659,The Ashes Of Eden,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Pocket Books,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824934,Die Asche von Eden,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q7714659,The Ashes Of Eden,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Pocket Books,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54824935,Die Asche von Eden,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q108617400,Toki Pona: The Language of Good,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q12854,Q12854,Sonja Lang,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q108669617,Toki Pona: la langue du bien,,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1865620,Little Brother,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,n/a,http://www.wikidata.org/entity/Q110436,Q110436,Cory Doctorow,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q111016288,Little Brother,,,,,,No,,Christian Wöhrl,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q52399365,"Jeanne, fille du Roy",novel,Canada,"56,-109",Yes,-109,56,Éditions Fides,http://www.wikidata.org/entity/Q3106522,Q3106522,Gilles Tibo,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q7744440,The King's Daughter,,,,,,No,,,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q64863366,Pleurer pour rire,play,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3289374,Q3289374,Marcel Sabourin,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q64863371,Llorar para reír,,,,,,No,,,Spanish,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q106776674,For the love of men : a new vision for mindful masculinity,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q30588399,Q30588399,Elizabeth Plank,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q106776710,Pour l'amour des hommes : dialogue pour une masculinité positive,,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173104,Station Eleven,,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173108,Station Eleven,,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173118,Station Eleven,,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q10339727,The Return,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Pocket Books,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825071,Die Rückkehr,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q10339727,The Return,novel,United States,"39.828175,-98.5795",Yes,-98.5795,39.828175,Pocket Books,http://www.wikidata.org/entity/Q16297,Q16297,William Shatner,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q54825072,Die Rückkehr,,,,,,No,,,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q19758340,Beyond Games and Scripts,short story collection,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q44836,Q44836,Eric Berne,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q86215117,За пределами игр и сценариев,,,,,,No,,,Russian,http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q565911,Anne of Green Gables,,Canada,"56,-109",Yes,-109,56,L. C. Page & Company,http://www.wikidata.org/entity/Q273034,Q273034,Lucy Maud Montgomery,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q83456853,Anne of Green Gables,,,,,,No,,,Korean,http://www.wikidata.org/entity/Q9176
http://www.wikidata.org/entity/Q115131783,The Climate Book,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q236606,Q236606,Naomi Klein,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q115412117,The Climate Book,,,,,,No,,,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q62703767,21 Cardinals,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3179881,Q3179881,Jocelyne Saucier,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q115267089,Niemals ohne sie,,,,,,No,,Sonja Finck,German,http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q114354168,"This miracle plant was eaten into extinction 2,000 years ago—or was it?",,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q7685527,Q7685527,Taras Grescoe,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q114354357,"On la croyait éteinte depuis 2 000 ans, cette plante miracle pourrait faire son grand retour",,,,,,No,,,French,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q115131783,The Climate Book,,n/a,,No,,,n/a,http://www.wikidata.org/entity/Q26704483,Q26704483,John Brownstein,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q115412117,The Climate Book,,,,,,No,,,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q30727660,La Femme qui fuit,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q2845696,Q2845696,Anaïs Barbeau-Lavalette,Canada,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q104716498,Suzanne,,,,,,No,,Rhonda Mullins,English,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173088,Station Elf,,,,,,No,,,Dutch,http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173083,Estação Onze,,,,,,No,,,Portuguese,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q20645702,Station Eleven,novel,Canada,"56,-109",Yes,-109,56,n/a,http://www.wikidata.org/entity/Q3052385,Q3052385,Emily St. John Mandel,Canada,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q116173092,Estação Onze,,,,,,No,,,Portuguese,http://www.wikidata.org/entity/Q5146
